,complaint_id,date_received,product,issue,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed?,consumer_complaint_narrative,month
197915,1304430,2015-03-27,Mortgage,"Application, originator, mortgage broker",Quicken Loans,OH,Web,Closed with explanation,Yes,No,applied quicker loan purchase home current residence employed year high credit score low debt income ratio paying almost percent reason decline quicker stating loan employed person moving quite statement coming company market united state business state location company tool use internet conduct business without meet face face wife discriminated based employment income ten thousand dollar deposit house may well lose deposit,3
197920,1304433,2015-03-27,Credit reporting,Unable to get credit report/credit score,Experian,OH,Web,Closed with non-monetary relief,Yes,Yes,try look credit report online system let see credit report let another credit company pay see report go look require information send like picture i'd social security number copy phone bill let dispute information sent copy information terrified mail still let dispute look credit report pay another company pull give what crazy experian one bad time,3
197925,1303889,2015-03-27,Debt collection,Disclosure verification of debt,"Capio Partners, LLC",GA,Web,Closed with non-monetary relief,Yes,No,collection agency put debt credit report spoke said sent collection notice address used almost 10 year able dispute debt sent thing validity debt,3
197926,1304438,2015-03-27,Student loan,Dealing with my lender or servicer,AES/PHEAA,NJ,Web,Closed with explanation,Yes,Yes,closed due fraud letter sent president xxxxpresident chief executive officeramerican education servicesxxxxi writing heavy heart extremely disheartened dissatisfied level insensibility lack understanding communication received america education service a representative regarding account requesting immediate release financial responsibility abovementioned account regarding payment educationaldiscipline program evidence accredited educational establishment however took loan told struggled loan beginning spoken numerous representative year concerning hardship financial divorce however received temporary relief larger outstanding balance additional information attached documentation attorney general office confirms fraud air ordered state pay civil penalty 25000000 attorney general office issuing unauthorized high school diploma program further order make partial refund parent never received refund stop issuing diploma stop marketing accredited school applied permission issue diploma state department education denied permission department rejection letter stated determined primarily behaviormodification facility boarding school lawsuit issuing face diploma also filed judge upheld validity incident led enrollment drop approximately student le ultimately led closing think unjust america education service notify allegation continued accept payment asking compassion thereby eliminating outstanding debt well send communication credit bureau remove item well thank kindly consideration time immediate attention matter,3
197939,1304448,2015-03-27,Consumer Loan,Managing the loan or lease,"Westlake Services, LLC",FL,Web,Closed with explanation,Yes,Yes,auto finance company westlake hired third party company come repose vehicle 2015 2015 paid total 150000 back payment owing fes plus month advance coming month went retrieved vehicle physical mechanical damaged friable contracted finance company regard issue suppurative concern response poor customer service stated representative surrender right vehicle due breach contract would like refused owing fee alone two month advance payment plus remainder loan debt cleared name vehicle longer service due negligent representative rudely denied request stated need contact owing company even provide owing company information brought legal advice help matter thanks advance time service,3
197945,1304455,2015-03-27,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CA,Web,Closed with explanation,Yes,Yes,mortgage company made payment arrangement day later said would take payment,3
197953,1305545,2015-03-27,Consumer Loan,Managing the loan or lease,Ally Financial Inc.,MI,Web,Closed with explanation,Yes,No,ally financial charged late fee late amount contracted ally via web site state response time complaintscomments twice without response realize short payment soon received note ally xxxxxxxx15 schedule payment bank get charge 100 late fee today xxxxxxxx15 received another note ally saying charging another plus crazy additional 3 month ago called ally requested audit loan felt ally creating payment correctly agent told ally absolutely refused advised ally executive service handling customer complaint please investigate lender terrible,3
198432,1294044,2015-03-20,Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,Web,Closed with explanation,No,No,well cargo initiated foreclosure activity behalf benefit holder colt however valid beneficiary authority direct quality loan exercise power sale deed trust therefore recent foreclosure document filed behalf null void forensic mortgage loan auditor uncovered irrefutable evidence never received effective assignment mortgage loan well cargo original lender specifically well cargo sold mortgage note deed trust full loan value indentured trustee colt mortgagebacked security trust following sale well cargo lost title interest mortgage loan nevertheless well cargo executed corporate assignment deed trust attempting transfer deed trust note trustee colt trust well cargo attempted assignment 6 year closing date trust transfer among party securitization transaction made without required endorsement note assignment scheme devised well cargo cover blotched securitization acknowledges borrowed party securitization transaction therefore right raise defect attempted securitization loan see attached u bank brochure aside fact well cargo interest mortgage convey anyone corporate assignment invalid null void additional reason deed trust purportedly transferred assignment security instrument without debt note legal nullify security instrument follows note vice versa common law rule 100 year see reply staff california deed trust mere incident debt secure assignment debt carry security assignment note carry mortgage assignment latter alone nullify accord up article g common law rule modified california statutory law call civil code section assignment debt secured mortgage carry security forensic audit mortgage loan establishes conclusively never received effective assignment loan otherwise person entitled enforce mortgage within meaning article up,3
198461,1294064,2015-03-20,Debt collection,False statements or representation,ERC,MD,Web,Closed with non-monetary relief,Yes,No,received many call debt collector point change phone number debt 6 year ago proof paid fact pay gone ahead reported credit report tried calling last time effort solve issue threatened pay would contact contact employer repeatedly called found false collection agency,3
198490,1294076,2015-03-20,Mortgage,"Loan servicing, payments, escrow account","Caliber Home Loans, Inc",AL,Web,Closed with explanation,Yes,Yes,financed home local lender thinking support community course paper sold least mortgage rest calibre home loan oh received escort analysis dated xxxxxxxxxxxx2015 informed shortage 200000 xxxxxxxxxxxx2015 payment increase 77000 paid time last month 100000 due increase premium 300000 e canceled xxxxxxxxxxxx2015 expiration xxxxxxxxxxxx2015 changed insurance company starting xxxxxxxxxxxx2015 premium 200000 principal interest 56000,3
198552,1294118,2015-03-20,Debt collection,Cont'd attempts collect debt not owed,Stellar Recovery Inc.,NY,Web,Closed with explanation,Yes,No,using name social security number applying card name receiving phone call around different state,3
198553,1294121,2015-03-20,Debt collection,False statements or representation,"National Credit Systems,Inc.",OH,Web,Closed with explanation,Yes,No,chose see appropriate point false statement representation national credit system told pay debt giving checking account number order protect credit said giving account number said well like told giving checking account number way protect credit called within day said wanted letter stating would contact credit bureau say debt going send official money order payment said could ensure credit,3
198566,1294126,2015-03-20,Bank account or service,"Account opening, closing, or management",PNC Bank N.A.,IL,Web,Closed with explanation,Yes,No,attempting close underperforming era account and transfer fund another institution 30 day initiated transaction and branch followed instruction provided investment banker and branch week completing transaction instructed investment banker branch received mail notice and able complete transfer package provided include clear instruction number form included completely legible example attached called and customer service directed identified era consultant somewhat verbally abusive refused help beyond recommending complete identical process believe denied access fund provided legible form sign provided clear reason denying fund unfair practice and part,3
198589,1294528,2015-03-21,Credit reporting,Incorrect information on credit report,Equifax,AL,Web,Closed with explanation,Yes,No,purchased lawnmower alabamaalso air conditioned lawnmower broke three week purchased returned repaired never seen called severaltimes finally brought wrong power refused throne purchased used older air conditioned gave back theretheir collection manager whoever guy beat door refused give receipt took also broke screen forcing locked put note door put charge credit 110000 false never could find lawnmower refused tell result airconditioner could possibly owe remainder airconditioner minus sold want take credit fraudulent reporting credit manager need terminated trying scan people like wrote thecompany time response filed law suit 2 year ago morand never followed counter manydifferent amount none consider another,3
198593,1294454,2015-03-21,Consumer Loan,Taking out the loan or lease,"VW Credit, Inc",TX,Web,Closed with explanation,Yes,Yes,leased vehicle last decade never issue lease complete used mile mile lease vehicle perfect condition worth residual payoff balance 2200000 decided purchase another vehicle poor service offered 2400000 vehicle trade however payoff quote issued dealer 2500000 contractual payoff purchase car 2200000 told brand practice prevent customer purchasing band believe would treat customer poorly order make xxxi,3
198595,1294754,2015-03-21,Payday loan,Can't contact lender,"Cash Express, LLC",TN,Web,Closed with explanation,No,No,hired company deal cash express manager store written letter threatening civil action corporate office sends letter like time company hired said contracted let address corporate headquarters could longer afford outrageous fee charging,3
198614,1294540,2015-03-21,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",NC,Web,Closed with non-monetary relief,Yes,No,sent request transition stop falsely reporting derogatory stating unpaid medical bill amount 7600 transition continues falsely report information stating debt allegedly owed veteran 100 free medical coverage debt could possibly son know name stayed one year long since moved away however different social security number birth date problem easily resolved zero medical bill repeatedly communicated fact transition successfully please help,3
198628,1294792,2015-03-21,Credit reporting,Incorrect information on credit report,"TransUnion Intermediate Holdings, Inc.",CA,Web,Closed with non-monetary relief,Yes,No,disputed collection transition original account account sold got remove believe one also account mine already proved time account belonged relative pay reason company trying come already got transition delete alleged account file never mine today stating remaining credit report asking help cap already helped issue original account number back issue removed help seems account sold deal least year please help remove please help stop collection agency repeating selling account account never account scanned original case xxxi,3
198637,1294468,2015-03-21,Consumer Loan,Taking out the loan or lease,Capital One,WA,Web,Closed with explanation,Yes,Yes,cap one finance sent auto loan preapproval letter stated interest rate low 23 called capital one auto loan callender time asking interest rate approved time called instructed take capital one preapprover letter dealer choice took owned state told interest rate quoted capital one auto finance 16990 also told capital one auto finance would finance loan lower interest rate showed year time payment late payment capital one told finance loan paid huge interest rate 15 month late payment paid 290000 price car paying hoping 490000 capital one auto finance interest predator leading loan set failure employer laid employee year announcement lay also tried finance several company auto loan company tell predator loan payment made went interest profit capital one owed value car exceeds criterion finance 15 month time payment owe ford focus worth paid 490000 interest 290000 payoff event laid year default loan high payment 58000 month need capital one auto finance drop interest rate nonpredatory rate 8 please review document prove paid time late payment credit report last 15 month,3
198640,1294466,2015-03-21,Debt collection,Disclosure verification of debt,Bank of America,GA,Web,Closed with explanation,Yes,No,1 competent state matter set forth herein 2 first hand knowledge fact stated herein 3 fact herein true correct complete admissible evidence called upon witness testify velocity plain statement factsdefinitionalleged lender bank america 4 evidence we outstanding liability obligation alleged lender doctrine ultra fire doctrine ultra fire contract made corporation beyond scope corporate power unlawful belief proof contrary 5 alleged lender failed provide proof full disclosure matter dealing loan said contract required law truthinlending act pursuant alleged lender failed provide document information requested qualified written request sent bank post registered mail addition legal notice registered mail sent alleged lender attorney blankrome ll law second request proof claim dated sent bank post registered mail received alleged lender failed produce inspection upon demand required uniform commercial code original wet signature document including security deed promissory note along evidence fact holder due course supported obligation despite given opportunity provide proof claim matter via terrified mail alleged lender able provide presentment upon demand alleged belief alleged lender holder due course real beneficial party interest loan 7 alleged lender failed prove note holder due course pursuant up article despite qualified written request demanding alleged lender stimulate clarify fact loan document security deed mention word holder therefore alleged lender fully admits holder due course real party interest loan 8 fact alleged lender authority enforce contract serving assignment provided proof authority despite written request via post terrified email therefore alleged belief alleged lender authority enforce contract loan fair debt collection letter quite frankly ignored rebuttal till recession letter clearly denied considered closed xxxxlitigation specialist bank america althoughtila evidence contrary congressional intent statute limitation must read subject equitable telling particularly since act construed liberally favor consumer response letter sent terrified issue alleged pretended lender finally we made firm request viewing wet ink note along perfect chain title insert letter dear sir letter dated notify firm mortgage company claiming ownership alleged loan note exercising right fair debt collection practice act modified stipulates debt collector must verify request,3
198653,1294483,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Rushmore Loan Management Services LLC,WA,Web,Closed with explanation,Yes,Yes,misrepresenatation changing trust loan term loan wandered nationstar trust predator loan violates multiple u federal consumer protection law including rest till rushomore created along new loan trust piggbank creation anew trust loan complaining u cap since happened received notice transition credit bureau loan created rushmore loan met service office point webster maturity date changed impossible loan abortive rushmore rep told would refusing give amortization statement would show full amortized balloon payment company defrauded year text complaint sent demanding document contracted up well writing past since cut online mortgage serving site could get information coordinating alleged foreclosure strategy manufactured default today received notice rushomre make payment webster canceled check side complaint inquiry maturity date loi writing told representative several year ago loan fully amortized zero would fully paid since 25 year loan balloon payment maturity date state webster calculation loan paid payment rate per north seven year requested amortization statement would document statement refused told write letter time writing inquiry order request full amortization schedule showing mortgage balance representative told balloon payment fully amortized balance loan maturity date plus equal addition credit bureau sent notice also rushmore reported transition created new trust loan home without permission till rest notice required recent u supreme court legal decision truth lending law must complied request loan new maturity mortgage loan never applied approved rushomre sent notice credit bureau notice digit account number assigned rushomre new trust 15 year loan please advise provision uscfpb u supreme court going see loan 15 year loan including settlement document promissory note modification document loan received predecessor nationstar effect balloon payment loan since maturity date seems changed someone house underwater crash may difficult finance remaining balance mortgage apply trust loan modification would result maturity date also received letter received payment webster say side,3
198664,1294555,2015-03-21,Debt collection,False statements or representation,"Navient Solutions, Inc.",CA,Web,Closed with explanation,Yes,No,received letter mail stating ticket owed money called find talking said speeding ticket illinois 1999 nowhere near time,3
198675,1294480,2015-03-21,Credit reporting,Incorrect information on credit report,Equifax,NY,Web,Closed with non-monetary relief,Yes,No,contracted equifax investigate collection account credit report belong for for requested document proof validity debt creditor several time respond inquire matter record contact still provide proof validity debt knowing violating fdcpa practice rule wont open investigation even never since impossible time frame day,3
198684,1294488,2015-03-21,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,NC,Web,Closed with explanation,Yes,No,loan originated principal 14000000 loan modification granted lender premodification unpaid principal 14000000 newly calculated unpaid principal became 16000000 loan modification granted lender premodification unpaid principal newly calculated unpaid principal became 18000000 bank contracted multiple date included conversation variety representative different department loan originating increase 28 3900000 18000000 14000000 consumer legal right understand loan calculation prior approval practice mortgage principal increase common loan modification legal ethical option equitable solution task receiving answer many question unsuccessful,3
198705,1294541,2015-03-21,Debt collection,Cont'd attempts collect debt not owed,"CHS, Inc.",NC,Web,Closed with explanation,No,No,sca credit service virginia falsely reporting owe medical debt 7600 owe veteran medical care 100 free medical center sca credit service communicating aforementioned credit reporting bureau owe debt sca false reporting negative impacted credit report caused credit application disapproved please help correct problem already filed grievance credit bureau successfully twice,3
198723,1294571,2015-03-21,Debt collection,Communication tactics,KeyBank NA,WI,Web,Closed with explanation,Yes,No,paying son student loan consigned pay due date never missed payment key bank call anywhere time day starting 2 day given due date receive payment usually 2 week,3
198724,1294475,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,No,recent phone conversation well cargo representative including underwriter representative stated reduced mortgage would 300000 how fee included current mortgage 310000 would give reduction 1800 fall guideline master service requesting assistance so president area well cargo believe eligible modification request based calculation request detailed explanation underwriter determined higher decision,3
198725,1294572,2015-03-21,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,No,applied loan modification well cargo mortgage received information status application since wednesday received foreclosure notice sale auction held leaf time deal find suitable housing move current home foreclosure informed reputable attorney foreclosure dual cracking violation homeowner bill right,3
198726,1294573,2015-03-21,Bank account or service,"Account opening, closing, or management",BBVA Compass,TX,Web,Closed with monetary relief,Yes,No,unfair business practice compass bank changed lifetime note contractual term business checking started charging monthly fee without consent completely failed notify change whether email paper mail phone result unauthorized fee caused account balance go without knowledge turn caused of charge generation improper fund bank upon finding problem immediately went compass bank branch suggested call phone number assistance demanded talk person acknowledged bank notify change account note term refused resolve issue demanded compass bank reverse improper unfair fee charge compass bank return original fund close account lady compass bank executive talked refused close account stating must pay accumulation fee charge first charge continue accumulation indefinitely even account dispute,3
198731,1294748,2015-03-21,Debt collection,Communication tactics,Delbert Services,VA,Web,Closed with explanation,Yes,No,received call stating collection desert service owethey called home cell work work federal government cell brotherand work number request information company refused provide information started yelling hung,3
198758,1294580,2015-03-21,Debt collection,Cont'd attempts collect debt not owed,HSBC North America Holdings Inc.,NH,Web,Closed with explanation,Yes,No,debt thrown court debt credit card combined together brought court judge threw case due improper document bottom line insurance debt debtor household financial honor insurance gave document required sold debt credit card company honored shown document paid 400 month foe insurance account portfolio debt sold combined together court dismissed still show debt,3
198759,1294581,2015-03-21,Debt collection,Cont'd attempts collect debt not owed,Capital One,NH,Web,Closed,Yes,No,debt thrown court debt credit card combined together brought court judge threw case due improper document bottom line insurance debt debtor chase isa household financial honor insurance gave document required sold debt credit card company honored shown document paid 400 month foe insurance account debt sold combined together court dismissed still show debt,3
198779,1294587,2015-03-21,Mortgage,"Loan modification,collection,foreclosure",Wells Fargo & Company,OH,Web,Closed with explanation,Yes,Yes,well cargo offered provided deed lieu foreclosure 2014 credit report list did asked well cargo numerous time provide paperwork state done well cargo sent into property preservation process preparing home transfer may include repair yard work clean deem needed completed claim review file pull updated title work did document sent recording recording transfer home name had recorded able obtain copy recorded did document local courthouse recorded had review file advise claim complete final step close file includes issuing incentive fund typically 6090 day recording tax related question please contact tax customer service line xxxxthank year based well cargo inability get done timely manner house hole roof water lead inside still get tax bill local water bill well cargo living art deal,3
198788,1294473,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Wells Fargo & Company,CA,Web,Closed with explanation,Yes,No,6 month submitting application tax return bank statement many document required time well cargo bank moving towards foreclosure property making payment required test returned well cargo bank renewed contractual agreement order go foreclosure fast possible called bank mortgage fraud victim borrowed reason well cargo bank know value property exceeds loan amount wish try give modification agreement easier make whole property name ca phone call conversation message please help,3
198790,1294590,2015-03-21,Credit reporting,Improper use of my credit report,"TransUnion Intermediate Holdings, Inc.",PR,Web,Closed with explanation,Yes,No,xxxxxxxx2014 denied loan credit bureau transition changed personal information name mother name also report see without permission requested information credit bureau without knowledge tried ask tell truth sent credit bureau denied help need check think started problem xxxxxxxx2014 want see report,3
198828,1294477,2015-03-21,Debt collection,Communication tactics,Ally Financial Inc.,MD,Web,Closed with explanation,Yes,Yes,field complaint cap regarding ally resolve matter however ally calling automatic system blocking phone call without resolving matter call house day long time dispute refuse resolve matter waiting supervisor return phone call however automatic system block call rest day,3
198844,1294608,2015-03-21,Bank account or service,"Making/receiving payments, sending money",JPMorgan Chase & Co.,OH,Web,Closed with explanation,Yes,Yes,complaint partner small ohiobased business federal filing cap complaint setting credit card merchant service via whollyowned entity chase bank improperly attempting mingle personal credit information creditworthiness business endeavor relationship dependent upon manner personal credit history personal information 14 year blemish history business financial performance corporation stand legally considered person attempted mingling disparage attribute damage personal credit score discriminatory small business owing primafacie truth chase bank provision identical service company would never include provision date birth social security number support running personal credit reportscore practice requiring personal do son provision small business merchant service discriminatory properly formulated business represents unnecessary burden applied large entitles particularly galling specific case merchant service content entire process since direction money flow bank small business given money flow reality conducting personal credit check discriminatory abusive fraudulent since provision credit arising performance credit review notwithstanding rare circumstance chargeback undermined complaint never occurred 14 year accepting credit card postulated chargeback scenario tendon since chase bank handled business banking service approximately 10 year furthermore chargebacks basis concern examination capacity reverse fund chargebacks still remains legal entity since business account chargeback funding must captured closing complaint consumer financial protection issue behalf similarly situated small business principal owing discriminatory practice requiring onerous frivolous credit check imparts additional burden well tangible negative factor principal credit history score event cap seems complaint appropriately belongs another agency within another forum cap assistance reporting complaint appreciated advance,3
198854,1294611,2015-03-21,Debt collection,Disclosure verification of debt,Central Portfolio Control Inc.,TX,Web,Closed with explanation,Yes,No,received letter collection letter central portfolio control stated interest late charge charge may vary day day amount due day pay may greater addition first time received collection notice amount received information service wa provided hospital collecting want send payment discus option even give date service,3
198880,1294464,2015-03-21,Credit card,Identity theft / Fraud / Embezzlement,Barclays PLC,FL,Web,Closed with explanation,Yes,No,hello victim freed made many attempt resolved credit card used reported company without resolution bank xxxi,3
198925,1294630,2015-03-21,Mortgage,"Loan servicing, payments, escrow account","Pacific Union Financial, LLC",TX,Web,Closed with explanation,No,No,loan sold short time later pacific union financial service everything fine serving transfer pacific union financial every payment made time full pacific union financial sent u letter demanding almost 200000 catch escort account immediately called service explained escort balance short could explain balanced beginning year monthly escort payment amount tax insurance offered send pay history help figure thought responsibility asked note escort account shortfall dispute research pay history would convene soon chance review documentation documentation took three week arrive came chance review immediately contact instruction morning someone stating pacific union financial called demanding payment full escort shortfall agreement new monthly payment nearly 30000 explained previously spoken someone investigation shortfall stated immediately pay increased amount would recorded history short pay negative information would reported credit reporting agency explained inappropriate enough time review documentation considered request disputed point became argumentative threatening sort raising voice call went hour argumentative harassing tone never missed shortpaid mortgage payment since first home purchased 20 year ago excellent credit history payment history company use stronger tactic threat disappointing,3
198926,1294631,2015-03-21,Credit card,Other,Discover,NJ,Web,Closed with monetary relief,Yes,No,offered 10000 gift card applying adiscovercard clicked link applied compliedwith requirement requirement make xxxxpurchase card within 3 month say purchase month contracted bank said knew nothing theoffer contracted management said apply right card denied acknowledge offer although webster would applied card offer,3
198935,1294633,2015-03-21,Student loan,Dealing with my lender or servicer,"Navient Solutions, Inc.",MN,Web,Closed with explanation,Yes,No,patient provided accurate student loan interest paid statement private student expel loan account number requesting phone directed customer service representative specifically trained private loan assured would receive email attached form received accurate received notice automatic phone system self terrifying form confirm interest paid sent failing address correct received yet available online download unnecessary burden mean discourage borrower receiving tax benefit private loan available failed since paid 60000 interest capitalized interest 2014 tax year,3
198949,1294626,2015-03-21,Debt collection,Cont'd attempts collect debt not owed,"SIMM Associates, Inc.",NY,Web,Closed with explanation,Yes,No,company him associate told xxxx2015 via terrified mail account trying collect result identity theft company sent information informed xxxx2015 account result identity theft sold uncollectable account sent via terrified mail necessary legal paperwork identity theft affadavit police report etc advised accordance fair debt collection practice act stop collection proceeding stop communicating debt except fair credit reporting act allows also asked notify business trust account result identity theft responded knowing went sold account another debt collector no financial system received letter collection agency trying collect debt ethical practice him associate,3
198962,1294641,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Castle & Cooke Mortgage,TX,Web,Closed with explanation,Yes,No,purchased home recently received annual escort account disclosure statement loan provider castle cook mortgage current mortgage monthly payment 140000 upon reviewing statement realized new mortgage payment increased 250000 called castle cook explanation representative explained pay tax kept referring signing blame asked answer asked said service provider asked service provider finally admitted castle cook failed properly collect fund escort provide mean option resolve issue ask option resolving issue concerned problem generate castle cook problem believe intentionally perpetrated representative stated common occurrence representative stated 36 month pay shortage escort fund asked would fee incurred stated very statement plan proceeding option find exactly work may submit another complaint add one research castle cook found organization taken action sneering consumer coster mortgage feel exploited taken advantage venture say many consumer similar situation voiced concern,3
198965,1304463,2015-03-27,Debt collection,Cont'd attempts collect debt not owed,GC Services Limited Partnership,IL,Web,Closed with explanation,Yes,Yes,closed account conversation phone asked last payment owed responded yes promptly paid last bill stated needed send equipment back would charged wanted get roof take part actual told physically unable time get roof promptly returned rest equipment paid shipping cost week later contracted said made error filling skilled owed 10000 told account closed listen recorded conversation last customer day contend still owe contested fact beginning refuse pay bill please help getting removed report,3
198969,1294627,2015-03-21,Student loan,Dealing with my lender or servicer,AES/PHEAA,NY,Web,Closed with explanation,Yes,No,student loan obtained mine company american education service national collegiate trust informed account result still sending account collection agency collection collection agency advised account result continue forward debt buyer,3
198986,1294651,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Ocwen,CA,Web,Closed with explanation,Yes,No,owen essentially refusing perform escort account analysis owen raised escort payment originally took serving certain average account analysis typically performed expected received notice saying fairly substantial average would receiving check within 30 day received notice saying previous notice error second escort account analysis would performed waited update hearing nothing contracted owen second escort account analysis never performed although nobody could tell told would take 35 week find analysis performed promised 57 business day perform new one requested new analysis performed time called check status analysis told indeed substantial average 130000 check route received communication owen called check status told escort account analysis actually performed point told appeared started analysis failed complete asked transferred woman whose job apparently solve mystery name i'd contact number agreed appeared due refund could determine analysis failed performed promised many different occasion asked give 48 hour determine problem said would call back heard 48 hour later left message contact number provided yet receive return call account current nine year since securing mortgage never late unable get straight answer problem approaching six month late annual escort account analysis one many problem e since owen took serving loan addressing individually failure perform simple escort account analysis keeping money pocket frightfully situation easily rectified month ago,3
199010,1294659,2015-03-21,Money transfers,Wrong amount charged or received,The Western Union Company,MD,Web,Closed with explanation,Yes,No,1 money transfer option collecting currency 2 rate exchange dismounted therefore recipient receiving correct amount local currency based current exchange rate western union collecting earned income based gain received dismounted rate paid recipient exchange rate set xxxiv western union charge fee transfer addition dismounting exchange rate 5 case point today xxxx2015 western union rate exchange transfer sent local outlet person 11000 rate set 11000 hence gain 400 u sent addition base fee u 900,3
199020,1304475,2015-03-27,Consumer Loan,Managing the loan or lease,"VW Credit, Inc",NY,Web,Closed with monetary relief,Yes,No,charged volkswagen credit wear tear upon returning lease vehicle bill came almost month dropped car dispute charge paid bill card supporting documentation submitted behalf waited evidence reply ve support claim damage reply almost month issued credit minus return fee 35000 paid ve week ago ve sent another bill called threatened charge would go collection agency paid addition year ago manual transmission car question failed highway ve claimed abuse charged 200000 car barely year old according woman issue aware know drive stick responsible offered unsolicited information despite fact previous car ve well stepped disputed charge issued refund questionable practice decided return car month early paid last month payment early clean car returned parking space work home rarely marked street,3
199036,1294663,2015-03-21,Mortgage,"Loan modification,collection,foreclosure",PNC Bank N.A.,CA,Web,Closed with explanation,Yes,No,and serving mortgage filed bankruptcy 2012 chapter stated bankruptcy going sell house short sale could afford would moving unfordable area four month filed sold house time buyer paying cash question funding and gave u run around year never approved denied short sale kept asking new paperwork always different contact would always lose paperwork asked speak actual holder loan and refused give information year buyer finally back end sight since found original lender never even told pending sale asked reactor happening said and get money government month short sale pending wait till value house went enough would short sale addition and refused acknowledge bankruptcy refusing lower payment set forth bankruptcy court currently closing second sale house short sale said would take 10 day get payoff amount worried incorrect basin owe penalty original full payment feel wrong deliberately held sale house would incurred additional charge penalty also feel like money received government holding sale created back account know know reactor several issue and short sale took 7 month give u single point contact 8 month send appraise please let know know payoff amount going give wrong recourse get fixed loan paid people incompetent scare,3
199045,1304481,2015-03-27,Debt collection,Disclosure verification of debt,"FEDERAL PACIFIC CREDIT COMPANY, LLC",FL,Web,Closed,No,No,found credit reporting bureau negative account federal pacific credit ll account number federal pacific credit failed provide legal variation dunning letter accordance fair debt collection practice act seeking proof debt mine require copy original contract credit account obtained well monthly statement since debt purchased company often refresh account report balance unknown account last 6 month also company reporting multiple 120 day late payment affect credit score sent several letter including notarized formal variation letter seeking purification date federal pacific credit failed provide information requested even responded also u multiple failing address company sign mail multiple returned letter called company get failing address directly still mail get returned federal pacific credit clearly violation fair debt collection practice act seek legal action company practice issue resolved immediately federal pacific credit provided undermined evidence substantiate claim debt legitimate debt neither proof federal pacific credit permission collect debt provided previous purification debt finally received information federal pacific credit currently posse document debt since company failed provide evidence claim made response led believe neither federal pacific credit posse adequate documentation collect alleged debt order provide proof legitimate debt 7 year right collect debt,3
199047,1294666,2015-03-21,Consumer Loan,Taking out the loan or lease,Ally Financial Inc.,GA,Web,Closed with explanation,Yes,No,lease vehicle inquired purchase option ally financial recognizing purchase option amount contract equal residual fee purchase option amount quoted 2500 higher residual value stated contract,3
199048,1294668,2015-03-21,Debt collection,Disclosure verification of debt,"Citizens Financial Group, Inc.",MI,Web,Closed with explanation,Yes,No,charter one bank credit report issue received letter related account based concern met account specialist charter one back believe name informed equity loan could drawn longer told due full could continue make payment pay paying 160month increased payment automatic withdrawal charter checking 500month starting also issue checking payment made much owed due able see statement charter workflow asked sent request statement issue several time could get good answer would tell due status set automatic transfer 500month payment concern account thought automatic payment check monthly collecting tax information asked interest paid account told bankrupt status credit charged ask told related wife chapter filing late know anything filing assumed since bankruptcy would affect agree continue pay loan requested put back automatic payment told could mentally send check charter one received several credit inquires letter auto loan bank said denied due credit report requested credit report found account charge status attached page noted see paying auto withdrawal report state 90 day late still paying issue know time auto transfer must stopped charter without knowledge ratification know see fail transfer note see type note charter system fund transfer think much 60 day nonpayment due charter stopping transfer account put charge informed issue back attached copy transfer failure looked realized payment really going issue account put status without ever called letter written attempted pay charter 500month reason get paid charter bank stopped payment requested credit information removed credit report account reestablished set auto payment requested charter one understands frustration always willing attempting pay time owed week sent request help fix charter one issue received call collection agency stated hired collect debt told end month come 3900000 payoff told 3900000 laying around option said could request reduced payoff offer 50 accept come back offer 2200000 accepted borrowed money pay amount late payment credit report loan payoff reduced amount never credit issue report due charter one action credit report ability get loan effected loan denied need help xxxi,3
199049,1294484,2015-03-21,Mortgage,"Loan servicing, payments, escrow account",Nationstar Mortgage,CO,Web,Closed with explanation,Yes,Yes,previously filed complaint still pendingresolution new complaint nationstar mortgagedisbursement last month payment appliedall payment principle added late fee nowwant 2 month payment charging escrowfor insurance pay directly insurance company many complaint nationstar first need get mortgage payment corrected,3
